main_category,subcategory,title,author,url,source
Arts & Culture,Architecture,"Encyclopaedia Britannica, 11th Edition, ""Map"" to ""Mars""",Various,https://www.gutenberg.org/ebooks/42638,gutenberg
Arts & Culture,Fashion,English Costume,Dion Clayton Calthrop,https://www.gutenberg.org/ebooks/33020,gutenberg
Health & Medicine,Drugs/Alcohol/Pharmacology,Epitome of the Pharmacopeia of the United States and the National Formulary,"Albion Walter Hewlett, Torald Hermann Sollmann, Martin I. Wilbert, and William August Puckner",https://www.gutenberg.org/ebooks/41778,gutenberg
History,History - Other,Erewhon,Samuel Butler,https://openlibrary.org/works/OL22364W,openlibrary
Social Sciences & Society,Psychiatry/Psychology,"Erinnerungen, Träume, Gedanken",Carl Gustav Jung,https://openlibrary.org/works/OL95094W,openlibrary
Literature,Biographies,Essais,"Montaigne, Michel de",https://openlibrary.org/works/OL1086528W,openlibrary
Arts & Culture,Music,Essay concerning human understanding,John Locke,https://openlibrary.org/works/OL880201W,openlibrary
History,History - Religious,Essays,Francis Bacon,https://openlibrary.org/works/OL69382W,openlibrary
Arts & Culture,"Essays, Letters & Speeches","Essays, Letters, and Speeches of Thomas Paine",Thomas Paine,https://openlibrary.org/works/OL40780569W,openlibrary
Arts & Culture,"Essays, Letters & Speeches",ESSAYS SPEECHES AND PUBLIC LETTERS,James B. (Ed.) Faulkner William. (Text) Meriwether,https://openlibrary.org/works/OL31593517W,openlibrary
Arts & Culture,"Essays, Letters & Speeches",ESSAYS SPEECHES AND PUBLIC LETTERS,JMAES B. MARIWETHER,https://openlibrary.org/works/OL43065138W,openlibrary
Arts & Culture,"Essays, Letters & Speeches","Essays, Speeches and Public Letters",,https://openlibrary.org/works/OL34665137W,openlibrary
